zip,lat,long
21043,39.2548,-76.8001
33064,26.2785,-80.1157
53095,43.4224,-88.1845
84041,41.0879,-111.9704
43420,41.3498,-83.1181
48439,42.9282,-83.6264
33137,25.8156,-80.1897
65109,38.5773,-92.2443
72712,36.3577,-94.2224
62002,38.9087,-90.1568
20152,38.8976,-77.5092
20650,38.2774,-76.638
94588,37.6873,-121.8957
28405,34.2651,-77.867
07631,40.8943,-73.9772
46804,41.0508,-85.256
60540,41.7662,-88.141
77074,29.6896,-95.5106
86047,35.0242,-110.6974
48302,42.5848,-83.2821
07503,40.897,-74.1573
44241,41.2491,-81.3383
55746,47.4156,-92.9356
75119,32.3321,-96.6224
13676,44.6592,-74.9681
67401,38.8237,-97.6421
31088,32.5934,-83.6416
50702,42.4731,-92.3365
27713,35.9112,-78.9178
60044,42.282,-87.856
11021,40.7867,-73.727
28227,35.1936,-80.6846
80219,39.6956,-105.0341
60712,42.008,-87.7361
44614,40.8887,-81.5773
29445,33.058,-80.0101
13350,43.0307,-74.9876
95354,37.6409,-120.9749
84025,40.9889,-111.8938
44256,41.1404,-81.8584
72703,36.0992,-94.1716
77018,29.8272,-95.4266
52233,42.0425,-91.677
78945,29.904,-96.886
88005,32.3161,-106.7991
63011,38.6091,-90.5598
76087,32.7495,-97.6894
02062,42.1868,-71.2033
27707,35.9631,-78.9315
08003,39.8805,-74.9706
30265,33.3958,-84.7121
19382,39.9441,-75.5882
43430,41.53,-83.359
79915,31.7432,-106.3686
35674,34.6874,-87.6833
19468,40.2075,-75.5329
75070,33.1976,-96.6153
44070,41.4201,-81.9131
75503,33.4669,-94.0774
67207,37.671,-97.2179
46131,39.4854,-86.0608
32940,28.2061,-80.685
14094,43.16,-78.6923
61615,40.7661,-89.645
97225,45.4985,-122.7787
93105,34.4369,-119.7285
72210,34.7076,-92.466
28212,35.1908,-80.7448
22026,38.5669,-77.2921
76049,32.4488,-97.7285
14626,43.2126,-77.704
52302,42.0411,-91.5941
75243,32.9103,-96.7285
72543,35.5103,-92.0392
30518,34.1124,-83.9965
32244,30.2231,-81.7556
72032,35.0842,-92.4236
49426,42.8748,-85.8751
19711,39.7011,-75.7375
57501,44.3695,-100.3211
32901,28.0691,-80.62
47130,38.3078,-85.7359
64015,39.015,-94.3118
27616,35.8673,-78.5381
77090,30.0167,-95.447
19153,39.9055,-75.2444
19003,40.002,-75.2966
84070,40.5794,-111.8816
45840,41.0449,-83.6457
46733,40.8273,-84.9314
85712,32.25,-110.8869
10977,41.1158,-74.0474
80737,40.9708,-102.2575
83647,43.1392,-115.6963
53589,42.929,-89.224
46545,41.6835,-86.1682
54603,43.8487,-91.2484
35216,33.4188,-86.7867
75229,32.8958,-96.8588
62095,38.8643,-90.0875
33714,27.8176,-82.6776
52241,41.6937,-91.5906
97501,42.2818,-122.9054
57401,45.4661,-98.4856
33409,26.7162,-80.0965
02134,42.3535,-71.1329
29407,32.7993,-80.006
47129,38.311,-85.7645
37380,35.028,-85.7225
23230,37.5921,-77.4952
49080,42.4544,-85.5994
89146,36.1424,-115.2242
78218,29.4969,-98.4032
45103,39.0957,-84.1451
40228,38.1442,-85.6265
43110,39.8349,-82.8044
54110,44.1779,-88.0833
03885,43.0194,-70.8997
28027,35.4141,-80.6162
94403,37.5395,-122.2998
39520,30.2956,-89.4632
30075,34.0408,-84.3859
23502,36.8546,-76.2143
94565,38.0031,-121.9172
95367,37.7298,-120.942
19464,40.2635,-75.6172
48616,43.1824,-84.1122
27526,35.58,-78.7908
63701,37.3169,-89.5459
02341,42.0616,-70.8651
77089,29.594,-95.2218
40391,37.9872,-84.1789
34285,27.0933,-82.4498
30060,33.9382,-84.5403
77598,29.5564,-95.144
62703,39.7622,-89.6275
74133,36.0467,-95.8841
45504,39.9408,-83.8343
08065,40.0037,-75.0257
84622,39.1251,-111.8185
28269,35.2886,-80.8209
77079,29.7738,-95.598
27511,35.7641,-78.7786
78209,29.4821,-98.4554
37040,36.522,-87.349
21801,38.3824,-75.6336
33014,25.8963,-80.3063
92115,32.7607,-117.0721
47591,38.6734,-87.5098
55044,44.6749,-93.2578
77063,29.7348,-95.522
04072,43.5209,-70.4546
23518,36.9202,-76.216
35405,33.1617,-87.5144
97216,45.5137,-122.5569
33747,27.8918,-82.7248
15642,40.3191,-79.7205
60647,41.9209,-87.7043
32811,28.5163,-81.4516
27006,36.0065,-80.4463
10466,40.8904,-73.8503
44124,41.501,-81.4694
77041,29.8602,-95.5817
19067,40.2084,-74.8291
28016,35.2849,-81.2863
89502,39.4972,-119.7764
34102,26.134,-81.7953
76053,32.8211,-97.1756
54302,44.5025,-87.9771
92660,33.6295,-117.8684
30533,34.5299,-83.9798
78233,29.5563,-98.3643
22554,38.4586,-77.4306
91406,34.2006,-118.4868
33761,28.031,-82.7239
16365,41.8436,-79.1726
33308,26.0984,-80.1822
98837,47.1374,-119.2891
60542,41.8089,-88.3274
85251,33.4936,-111.9167
91761,34.0316,-117.6187
75482,33.1345,-95.5922
43040,40.2477,-83.3622
84010,40.8775,-111.8727
37777,35.8375,-84.0089
91950,32.6749,-117.0897
66202,39.0278,-94.6558
33966,26.5824,-81.832
98409,47.2038,-122.4825
60515,41.8034,-88.0138
01523,42.451,-71.6868
71103,32.4945,-93.7727
60174,41.9194,-88.307
37865,35.87,-83.7495
61008,42.2595,-88.8509
95117,37.3108,-121.9623
48375,42.4604,-83.4577
20716,38.9263,-76.7098
13901,42.1463,-75.8865
32225,30.351,-81.5061
37405,35.0768,-85.3082
23707,36.8362,-76.344
37087,36.2098,-86.3024
19064,39.9296,-75.3338
42301,37.7513,-87.1554
32819,28.4522,-81.4678
32256,30.2214,-81.5571
95603,38.9115,-121.08
46808,41.0939,-85.1621
10475,40.8729,-73.8278
20166,38.9814,-77.4723
32837,28.3949,-81.4179
03446,42.8411,-72.3301
54629,44.1364,-91.6779
30401,32.5699,-82.3462
14221,42.9685,-78.7492
61520,40.5601,-90.0242
29406,32.9352,-80.0325
77057,29.7422,-95.4903
10543,40.9525,-73.735
32218,30.4507,-81.6626
08817,40.5171,-74.3973
66111,39.0803,-94.7806
85283,33.3665,-111.9312
27591,35.798,-78.3926
19038,40.1096,-75.155
98133,47.7377,-122.3431
93313,35.2974,-119.0509
58103,46.8564,-96.8123
62711,39.7655,-89.7293
37922,35.858,-84.1194
49423,42.7692,-86.1164
85711,32.2127,-110.8829
13039,43.1707,-76.0962
37067,35.9121,-86.7655
67701,39.383,-101.0442
19440,40.2778,-75.2975
52806,41.5733,-90.6038
37814,36.2248,-83.3119
37115,36.2604,-86.7046
46368,41.5672,-87.1757
91302,34.1419,-118.6641
85719,32.2474,-110.9491
33316,26.1042,-80.126
06320,41.3507,-72.1062
48836,42.6614,-84.0721
27407,36.0334,-79.8626
08822,40.518,-74.8453
32792,28.5974,-81.3036
75165,32.3808,-96.8374
32220,30.329,-81.8176
19973,38.6404,-75.6041
30233,33.282,-83.9784
32726,28.855,-81.6789
94530,37.9156,-122.2985
23462,36.8392,-76.1522
33062,26.2343,-80.0941
75167,32.3773,-96.9162
33157,25.6062,-80.3426
07446,41.0577,-74.1445
97301,44.949,-123.004
53224,43.1594,-88.0327
23901,37.3027,-78.4076
46173,39.6192,-85.4321
54482,44.5563,-89.5182
73114,35.5704,-97.5257
28152,35.2689,-81.5337
32505,30.4481,-87.2589
66203,39.0417,-94.7202
19047,40.1813,-74.9104
19522,40.4473,-75.8185
60178,41.9911,-88.6928
75006,32.9657,-96.8825
30721,34.7792,-84.9339
12110,42.7462,-73.763
18052,40.6567,-75.5041
55075,44.8881,-93.046
06830,41.0427,-73.6262
31210,32.8926,-83.7455
90007,34.0294,-118.2871
99212,47.6686,-117.3049
30096,33.9845,-84.1529
28425,34.5487,-77.9403
21204,39.4072,-76.6038
34231,27.2666,-82.5163
95076,36.9102,-121.7569
33444,26.4564,-80.0793
89801,40.9056,-115.5344
21117,39.4269,-76.7769
60164,41.9214,-87.8924
10913,41.0626,-73.9629
20111,38.7707,-77.4494
11803,40.7781,-73.4816
94063,37.4815,-122.2091
60120,42.0384,-88.2606
30534,34.4537,-84.155
49418,42.8939,-85.7619
33990,26.6265,-81.9677
18901,40.3054,-75.1489
98037,47.8392,-122.2855
19901,39.1564,-75.4955
36250,33.7808,-85.8924
28403,34.2237,-77.8862
97402,44.0612,-123.1555
93427,34.6209,-120.1922
75605,32.5547,-94.7767
32822,28.4944,-81.2902
33971,26.6388,-81.6992
98499,47.1677,-122.5024
65233,38.9536,-92.745
32308,30.4771,-84.2246
47167,38.6071,-86.0787
73119,35.421,-97.5616
40258,38.1457,-85.8641
34982,27.3908,-80.3246
67206,37.7038,-97.2253
46143,39.596,-86.1309
33544,28.2397,-82.3279
50613,42.5241,-92.4497
85234,33.3527,-111.7809
90034,34.029,-118.4005
96797,21.3982,-158.0124
02090,42.2148,-71.2104
61350,41.3526,-88.8416
43228,39.9648,-83.126
35233,33.5062,-86.8003
02184,42.2093,-70.9963
34104,26.1529,-81.7417
80112,39.5805,-104.9011
28211,35.1677,-80.7932
34668,28.3011,-82.6927
14075,42.7334,-78.8389
90405,34.01,-118.4717
80121,39.6111,-104.9532
33168,25.8902,-80.2101
84057,40.3134,-111.6953
98005,47.615,-122.1663
84111,40.7548,-111.881
44644,40.6845,-81.1838
60402,41.8347,-87.7914
70503,30.1843,-92.0497
94014,37.6875,-122.4388
44092,41.6046,-81.4692
32547,30.4487,-86.6255
02122,42.2973,-71.0745
92057,33.2407,-117.3025
32955,28.3134,-80.7319
92618,33.7074,-117.7054
06088,41.9099,-72.6029
45069,39.3402,-84.3998
14623,43.0834,-77.6344
77340,30.6448,-95.5798
33027,25.9974,-80.3248
53115,42.6227,-88.6277
74010,35.8209,-96.3758
19124,40.0178,-75.0895
19025,40.1431,-75.1624
80501,40.1779,-105.1009
97217,45.5742,-122.6842
27332,35.4469,-79.138
31061,33.08,-83.2379
28031,35.4733,-80.8726
78368,28.0802,-97.8097
79932,31.8623,-106.5932
04330,44.3232,-69.7665
48661,44.279,-84.2286
43085,40.0999,-83.0157
98944,46.3213,-120.0126
98531,46.7246,-122.9671
46113,39.6405,-86.3118
61108,42.2514,-89.0235
20176,39.1821,-77.5359
18976,40.2464,-75.1354
91764,34.0763,-117.6254
28110,35.0178,-80.5372
10954,41.0977,-74.0109
61021,41.8478,-89.4893
52807,41.5618,-90.5403
39428,31.6707,-89.5438
91791,34.0653,-117.8978
23294,37.631,-77.546
46240,39.9069,-86.1238
12205,42.7198,-73.8207
46385,41.4706,-87.0783
48864,42.7053,-84.4187
33024,26.0296,-80.2489
48103,42.2794,-83.784
96701,21.3908,-157.9332
06615,41.177,-73.1336
21030,39.4919,-76.6677
47401,39.1401,-86.5083
33023,25.9894,-80.2153
80020,39.9245,-105.0609
14068,43.024,-78.7532
49512,42.8802,-85.5352
50316,41.6092,-93.6
54615,44.2954,-90.8313
33146,25.7205,-80.2728
60435,41.5454,-88.1299
57701,44.1415,-103.2052
33181,25.8965,-80.157
92860,33.9247,-117.5517
33782,27.8681,-82.7086
85022,33.6315,-112.052
85257,33.4669,-111.9151
60453,41.7143,-87.7516
92111,32.7972,-117.1708
26102,39.2183,-81.4979
77665,29.8157,-94.3395
03909,43.1544,-70.6578
42104,36.9375,-86.4481
75662,32.3836,-94.8653
61920,39.4869,-88.1761
28602,35.6884,-81.3612
44305,41.076,-81.4644
91342,34.3054,-118.4322
16441,41.9603,-79.9996
65018,38.6224,-92.5456
98312,47.5754,-122.6958
47715,37.9678,-87.4855
80129,39.5397,-105.0109
98204,47.9017,-122.2472
74055,36.2863,-95.8222
01923,42.5694,-70.9425
27834,35.6192,-77.3975
92545,33.7399,-117.0151
22408,38.2481,-77.4681
90036,34.0699,-118.3492
92655,33.7446,-117.984
02460,42.352,-71.2084
45828,40.4846,-84.6517
39074,32.347,-89.4672
47025,39.1401,-84.8658
27804,35.9904,-77.8468
30062,34.0025,-84.4633
77385,30.1877,-95.4288
46254,39.849,-86.272
24740,37.3799,-81.1175
79765,31.9375,-102.3944
52402,42.0188,-91.6612
27617,35.9034,-78.7447
16801,40.7925,-77.8523
77098,29.735,-95.4118
33781,27.8387,-82.7151
20904,39.0668,-76.9969
92626,33.6801,-117.9085
30076,34.0213,-84.3104
08060,40.0086,-74.7896
33063,26.2674,-80.2092
85006,33.465,-112.0474
84032,40.4947,-111.4051
30291,33.5832,-84.5499
61032,42.2991,-89.6345
92008,33.1602,-117.325
53209,43.1188,-87.9478
38305,35.6829,-88.8281
58703,48.3306,-101.3156
76131,32.8632,-97.3377
54481,44.5212,-89.5588
53142,42.556,-87.8705
23321,36.8012,-76.423
78415,27.7262,-97.4078
03878,43.2525,-70.8756
47546,38.3604,-86.9295
38901,33.7751,-89.8087
53081,43.741,-87.7247
50250,41.5033,-94.3186
78380,27.7984,-97.6995
55082,45.0614,-92.8474
63141,38.6565,-90.4542
46236,39.8689,-85.9765
30071,33.9381,-84.1972
72762,36.1835,-94.1762
72450,36.06,-90.5251
08755,39.9999,-74.2228
24055,36.7534,-80.0055
03801,43.0729,-70.8052
48034,42.4969,-83.2911
57104,43.5514,-96.7375
20165,39.0472,-77.3866
75087,32.9492,-96.4418
33815,28.0496,-82.0069
18951,40.4411,-75.3507
77833,30.1774,-96.4028
78759,30.4036,-97.7526
95661,38.7346,-121.234
33147,25.8507,-80.2366
28303,35.0742,-78.965
27703,35.9781,-78.8439
30038,33.6823,-84.161
18344,41.1216,-75.3529
33073,26.2997,-80.181
96814,21.2998,-157.8439
17112,40.3352,-76.7914
14559,43.1895,-77.8043
91016,34.144,-118.0014
60010,42.1614,-88.1383
77504,29.6501,-95.1885
78729,30.4521,-97.7688
01778,42.3486,-71.3588
87107,35.1347,-106.6427
32778,28.801,-81.734
48176,42.1698,-83.7849
97365,44.6487,-124.0509
67601,38.8782,-99.3348
85282,33.3917,-111.9249
01803,42.5089,-71.2004
60195,42.0764,-88.1093
57106,43.5179,-96.7924
60173,42.0581,-88.0482
33607,27.9625,-82.4895
14304,43.0908,-78.9644
98371,47.1991,-122.3151
79936,31.7677,-106.3016
18202,40.9506,-76.0487
43017,40.1093,-83.1146
07036,40.6354,-74.2556
65010,38.7878,-92.2537
87507,35.6567,-106.0152
38320,36.0556,-88.1119
15301,40.1717,-80.256
83709,43.5741,-116.2941
30157,33.9045,-84.8621
32750,28.712,-81.3552
97005,45.4963,-122.8001
08505,40.1431,-74.7032
06260,41.9185,-71.8968
84107,40.6568,-111.8904
11793,40.685,-73.5103
78028,30.0416,-99.1408
72117,34.7658,-92.1524
84770,37.1041,-113.5841
32211,30.348,-81.5882
80110,39.6463,-105.0092
32114,29.2012,-81.0371
89104,36.152,-115.1092
22601,39.1858,-78.1827
11362,40.7591,-73.7326
28625,35.8651,-80.8858
98901,46.6021,-120.5059
21209,39.3716,-76.6744
32124,29.1419,-81.1402
04605,44.5548,-68.4121
33021,26.0218,-80.1891
33612,28.0502,-82.45
78412,27.7061,-97.3537
82001,41.1437,-104.7962
60546,41.8379,-87.8213
85344,34.15,-114.2891
47374,39.8324,-84.8936
29696,34.7516,-83.0399
50010,42.0379,-93.6003
02379,42.0255,-71.0161
60077,42.0345,-87.7541
39567,30.3658,-88.5561
72206,34.6836,-92.2776
92562,33.5631,-117.2738
11590,40.7557,-73.5723
20601,38.6371,-76.8778
17557,40.1005,-76.0801
08619,40.2418,-74.6962
21157,39.5642,-76.9807
77573,29.5173,-95.0963
47161,38.3399,-86.0887
97123,45.4984,-122.957
22150,38.7797,-77.1866
32763,28.9453,-81.2995
92807,33.8544,-117.7858
76901,31.4782,-100.4818
29611,34.8533,-82.4493
24523,37.3153,-79.5331
73401,34.1566,-97.1792
85281,33.4227,-111.9261
49548,42.8697,-85.6628
33487,26.4116,-80.0928
75072,33.1976,-96.6153
71202,32.3868,-92.0722
48433,43.072,-83.8424
21061,39.1618,-76.6297
72901,35.3653,-94.411
56560,46.8677,-96.7572
33166,25.8301,-80.2926
34448,28.788,-82.568
60714,42.0312,-87.8112
98424,47.2325,-122.3594
28117,35.584,-80.8685
66503,39.2458,-96.6336
37172,36.5018,-86.8769
32246,30.2933,-81.5092
02021,42.1645,-71.1355
55025,45.2685,-92.9749
17870,40.8224,-76.8683
49424,42.8135,-86.1426
37188,36.46,-86.6705
46711,40.6716,-84.9343
45879,41.141,-84.5722
35244,33.3538,-86.8254
23452,36.8348,-76.0961
46069,40.135,-86.2205
66502,39.1938,-96.5858
03766,43.6447,-72.2428
11423,40.7142,-73.7677
55110,45.08,-93.0223
33126,25.7763,-80.2919
30009,34.077,-84.3033
32110,29.4562,-81.3244
37130,35.8456,-86.3903
77034,29.6364,-95.2216
29210,34.0479,-81.1101
34609,28.4794,-82.5083
30680,33.9985,-83.7115
49331,42.955,-85.3653
83110,42.7128,-110.942
74021,36.3701,-95.8469
95678,38.7609,-121.2867
33762,27.8942,-82.6746
46140,39.7902,-85.8141
76011,32.7582,-97.1003
27518,35.7299,-78.7735
29550,34.3756,-80.0842
07621,40.9238,-73.9989
63841,36.7885,-89.9639
65301,38.6961,-93.2323
21228,39.2782,-76.7401
91343,34.2366,-118.4758
45701,39.3178,-82.102
33060,26.2315,-80.1235
28387,35.1697,-79.3957
60636,41.776,-87.6674
23875,37.2333,-77.2747
29678,34.6828,-82.9362
10019,40.7651,-73.9858
31093,32.6368,-83.6395
27587,35.9815,-78.5392
77031,29.6581,-95.5413
28262,35.3183,-80.7476
12550,41.5372,-74.0526
30328,33.9335,-84.3958
56201,45.1393,-95.0523
29732,34.9681,-81.0489
19963,38.9218,-75.4299
46304,41.6143,-87.047
28677,35.799,-80.894
31909,32.5369,-84.9274
90805,33.8635,-118.1801
73013,35.6215,-97.4733
02301,42.0794,-71.04
08088,39.8604,-74.6693
83704,43.633,-116.2951
75238,32.877,-96.708
08075,40.0293,-74.9497
04401,44.8242,-68.7918
75062,32.8479,-96.974
75093,33.0299,-96.7889
29640,34.829,-82.5796
37813,36.1957,-83.2755
32168,29.0247,-80.9584
29485,32.9756,-80.1831
69138,40.94,-100.1547
13021,42.93,-76.5626
64114,38.9621,-94.5959
66048,39.3015,-94.9339
78216,29.5334,-98.4975
99301,46.2492,-119.1044
05001,43.6722,-72.3813
27360,35.8713,-80.0913
22801,38.4489,-78.8714
60107,42.0225,-88.169
80012,39.6987,-104.8377
87109,35.1506,-106.569
68154,41.2642,-96.1206
97330,44.5904,-123.2722
97222,45.4373,-122.6147
23401,37.6193,-75.7638
40353,38.0548,-83.9388
94010,37.5671,-122.3676
27536,36.3301,-78.3981
33304,26.1387,-80.1218
55391,44.9847,-93.5422
30824,33.4774,-82.4942
01776,42.3837,-71.4282
14052,42.7701,-78.602
95825,38.5892,-121.4057
80204,39.734,-105.0259
27577,35.5068,-78.3479
07081,40.7015,-74.3227
83705,43.5851,-116.2191
27530,35.3683,-78.0929
28352,34.7599,-79.4673
12477,42.0738,-73.9797
91355,34.3985,-118.5535
21133,39.3746,-76.8002
21921,39.6264,-75.8458
98134,47.5903,-122.3263
24012,37.3029,-79.9322
92708,33.7102,-117.9503
01901,42.4612,-70.9467
92121,32.8919,-117.2035
